brand,processor_brand,processor_name,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,Touchscreen,msoffice,latest_price,star_rating
ASUS,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,44990,0
Lenovo,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,42990,4.4
HP,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,45490,4.3
HP,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,No,No,38799,4.4
HP,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Yes,Yes,69267,0
ASUS,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,Yes,51649,0
HP,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,47990,4.3
ASUS,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,40990,4.4
ASUS,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,42990,4.4
ASUS,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,44890,3.9
ASUS,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,41490,4.4
HP,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,No,No,50990,0
HP,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,48900,4.3
ASUS,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,40990,4.4
DELL,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,41790,0
Lenovo,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Yes,Yes,57999,3.4
DELL,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,45930,0
HP,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Yes,Yes,55490,4.3
ASUS,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,No,No,32890,3.9
Lenovo,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,Yes,35990,4
DELL,Intel,Core i3,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,No,No,42490,4
